2025-11-12,Spaceglidemasta,"Init new Project take"
2025-11-14,Joel,"pom changed to Java25"
2025-11-14,Joel,"Added JavaFX from Maven"
2025-11-14,Joel,"Create MainGui.java"
2025-11-14,Joel,"Spaces to Tab"
2025-11-14,Joel,"random testing + added color palette"
2025-11-14,Joel,"GPT JavaFX 3D Example"
2025-11-14,Joel,"+Func:getAppIcon()"
2025-11-14,Joel,"+ some comments on pom and added a mainClassPath property"
2025-11-15,Joel,"Created first FXML GUI for testing"
2025-11-15,Joel,"Random testing changes"
2025-11-15,Joel,"Restructuring + MainViewController"
2025-11-15,Joel,"+ package org.group_three.*"
2025-11-15,Joel,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-15,Joel,"Some GUI related file splitting"
2025-11-16,Spaceglidemasta,"readme init"
2025-11-16,Spaceglidemasta,"init readme"
2025-11-16,Joel,"fxgb"
2025-11-16,masta of the universe,"Merge branch 'main' into basic-gui-noSumoFeatures"
2025-11-16,masta of the universe,"Merge pull request #1 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-11-16,Joel,"start maingui in main class"
2025-11-16,Joel,"pom main class changed"
2025-11-16,Joel,"FXML splitting"
2025-11-16,Joel,"+ Toolbar->Simulation->OnClicked*"
2025-11-16,Joel,"+ some Toolbar pseudo functionality"
2025-11-16,Joel,""e" replaced with "event" for readability"
2025-11-16,Joel,"+ custom MenuItem class to hold path value"
2025-11-16,Joel,"- useless placeholder menu items"
2025-11-16,Joel,"change of controller initializer from public to private"
2025-11-17,Joel,"+ FileChooser for Simulation -> Open..."
2025-11-17,masta of the universe,"api.SimSumo and api.SimTraci added. Changed to notes"
2025-11-17,masta of the universe,"api init"
2025-11-17,masta of the universe,"Merge pull request #2 from Spaceglidemasta/basic-gui-noSumoFeatures"
2025-11-17,masta of the universe,"Merge pull request #3 from Spaceglidemasta/sumo-service"
2025-11-17,Leon-Uas,"debug init"
2025-11-17,masta of the universe,"Merge pull request #4 from Spaceglidemasta/debug"
2025-11-17,masta of the universe,"SimController added"
2025-11-17,masta of the universe,"Merge branch 'main' into sumo-service"
2025-11-17,masta of the universe,"fixed confliction"
2025-11-17,masta of the universe,"Merge pull request #5 from Spaceglidemasta/sumo-service"
2025-11-17,Joel,"2d renderer attempt"
